Label;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11;x12;x13;x14;x15;x16;x17;x18;x19;x20;x21;x22;x23;x24;x25;x26;x27;x28;x29;x30;x31;x32;x33;x34;x35;x36;x37;x38;x39;x40;x41;x42;x43;x44;x45;x46;x47;x48;x49;x50;x51;x52;x53;x54;x55;x56;x57
1;0;0.39;1.18;0;0.39;0;0;0;0;0.78;0.78;0.78;0;0;0.39;3.54;0;0;1.18;0;1.18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.39;0;0;0;0;0.064;0;0.843;0.129;0.064;5.87;42;364
0;0;0;0;0;0;0;0;0;0;0;0;1.22;0;0;0;0;0;0.61;0;0;0;0;0;0;0.61;0.61;0;1.22;0;0;0;0;0.61;0;0.61;0;0.61;0;0;0;0;0;0;0.61;0;0.61;0;0;0;0.412;0;0;0;0;2.206;19;128
0;0;0;1.44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.89;0;0;2.89;0;0;0;0;0;0;0;0.247;0;0;0;0;2.38;8;50
1;0;0;1.44;0;0;0;0;0;0;0;0;2.89;0;0;0;1.44;0;0;5.79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.277;0;0;1.312;3;21
0;0;1.25;0;0;0;0;0;0;0;0;0;2.81;0;0;0;0;0;1.56;0.93;0;0.31;0;0;0;0;0;0;0;0;0;0;0.31;0;0;0;0.31;0;0;0;0;0;0;0;0;0;0;0;0;0;0.164;0;0.109;0.054;0;2.193;18;136
1;0;0;0;0;0;0;0;0;0;0;0;0;1.33;0;0;0;2.66;5.33;2.66;0;2.66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.799;0.514;0;1.823;11;62
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.76;0;0;0;0;0;0;0;4.76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.76;0;0;4.76;0;0;0;0;0;0;1.8;5;9
0;0;0;0.87;0;0;0.17;0;0;0;0;0.17;1.74;0.17;0;0;0.17;0.69;0.52;0.17;0;0.17;0;0;0;1.21;0.52;0;0.34;0.17;0;0;0;0;0;0.34;0;0.17;0;0;0.17;0;0.52;0;0;0.17;0;0;0.34;0.022;0.022;0;0;0;0;1.601;11;277
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.777;0;0;0;2;4;6
1;0;0.89;1.14;0;0.12;0;0;0.12;0.25;0.12;0.12;0.38;0.12;0;1.14;0;0.12;2.04;2.8;0.12;1.27;0;0;0.12;0;0;0;0;0;0;0;0;0;0;0;0.12;0;0;0;0;0;0;0;0;0;0;0;0;0;0.165;0;0.371;0.061;0;2.878;84;475
0;0;0;0;0;0;0;0;0;0;0;0;0.76;0;0;0;0;0;0;0.76;0;1.53;0;0;0;10.76;0;0;0;0;0;0;0;0;0;0;0;0.76;0;0;0;0;0;0.76;0;0;0;0;0;0.377;0;0.094;0;0;0;4.807;31;274
1;0.1;0.1;0.71;0;0.61;0.3;0.4;0.1;1.42;0.81;0.1;0.5;0;0;0;0.1;0;1.11;2.23;0.5;2.03;0;0;0.3;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0.264;1.01;0.397;0.033;3.199;56;1043
1;0;0;0.79;0;0.26;0;0.26;0.26;0;0;0;1.31;0;0;0;0;0;0.26;1.58;0;0.52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.52;0.26;0;0;0.26;0;0;0;0;0;0;0;0.26;0.038;0.038;0;0.077;0;0;1.8;29;171
